Time,Yaw_Angle
1773652995.1856759,90.1
1773652995.2854226,90.1
1773652995.3852746,90.1
1773652995.4851193,90.1
1773652995.5853593,90.1
1773652995.6854062,90.1
1773652995.785269,90.1
1773652995.8855124,90.1
1773652995.9855187,90.1
1773652996.0853577,90.1
1773652996.1852942,90.1
1773652996.2854261,90.1
1773652996.3852851,90.1
1773652996.4853852,90.1
1773652996.5852487,90.1
1773652996.685696,90.1
1773652996.7852721,90.1
1773652996.885584,90.1
1773652996.9855986,90.1
1773652997.0852015,90.1
1773652997.1853273,90.1
1773652997.2854912,90.1
1773652997.3853056,90.1
1773652997.4853568,90.1
1773652997.5854216,90.1
1773652997.685322,90.1
1773652997.7851152,90.1
1773652997.885371,90.1
1773652997.985474,90.1
1773652998.0852482,90.1
1773652998.1852698,90.1
1773652998.2854555,90.1
1773652998.3855462,90.1
1773652998.4853494,90.1
1773652998.5854368,90.1
1773652998.68514,90.1
1773652998.7852979,90.1
1773652998.8852792,90.1
1773652998.9851701,90.1
1773652999.085288,90.1
1773652999.18531,90.1
1773652999.2851999,90.1
1773652999.3853297,90.1
1773652999.4852042,90.1
1773652999.5852349,90.1
1773652999.6851869,90.1
1773652999.7854223,90.1
1773652999.885317,90.1
1773652999.9854493,90.1
1773653000.08529,90.1
1773653000.185227,90.1
1773653000.2852256,90.1
1773653000.3853493,90.1
1773653000.485182,90.1
1773653000.5853379,90.1
1773653000.6851654,90.1
1773653000.785374,90.1
1773653000.8853643,90.1
1773653000.9857824,90.1
1773653001.0860438,90.1
1773653001.1852238,90.1
1773653001.2853417,90.1
1773653001.3852863,90.1
1773653001.4851425,90.1
1773653001.5858216,90.1
1773653001.6852133,90.1
1773653001.7858546,90.1
1773653001.885314,90.1
1773653001.9857411,90.1
1773653002.0857139,90.1
1773653002.185277,90.1
1773653002.285383,90.1
1773653002.3854408,90.1
1773653002.4857297,90.1
1773653002.5857916,90.1
1773653002.6861408,90.1
1773653002.7860947,90.1
1773653002.885437,90.1
1773653002.986058,90.1
1773653003.0860713,90.1
1773653003.1853554,90.1
1773653003.2856503,90.1
1773653003.3853414,90.1
1773653003.4851978,90.1
1773653003.5854597,90.1
1773653003.6853557,90.1
1773653003.785245,90.1
1773653003.885334,90.1
1773653003.9853127,90.1
1773653004.0851555,90.1
1773653004.1851234,90.1
1773653004.2851744,90.1
1773653004.3852649,90.1
1773653004.4851787,90.1
1773653004.5859396,90.1
1773653004.685433,90.1
1773653004.7854772,90.1
1773653004.8856757,90.1
1773653004.9857957,90.1
1773653005.0860384,90.1
1773653005.185886,90.1
1773653005.2855473,90.1
1773653005.385695,90.1
1773653005.4853292,90.1
1773653005.5858722,90.1
1773653005.6857405,90.1
1773653005.7854264,90.1
1773653005.8858325,90.1
1773653005.9854252,90.1
1773653006.0857098,90.1
1773653006.1858788,90.1
1773653006.2853189,90.1
1773653006.386185,90.1
1773653006.485354,90.1
1773653006.5857577,90.1
1773653006.685968,90.1
1773653006.7852278,90.1
1773653006.8859594,90.1
1773653006.9854414,90.1
1773653007.0861552,90.1
1773653007.1861007,90.1
1773653007.2852826,90.1
1773653007.3854685,90.1
1773653007.4859078,90.1
1773653007.5861385,90.1
1773653007.6854095,90.1
1773653007.7854247,90.1
1773653007.885841,90.1
1773653007.9852035,90.1
1773653008.0859697,90.1
1773653008.1855228,90.1
1773653008.285738,90.1
1773653008.3852954,90.1
1773653008.4856098,90.1
1773653008.5857816,90.1
1773653008.6856875,90.1
1773653008.7855349,90.1
1773653008.8856635,90.1
1773653008.9852097,90.1
1773653009.0852118,90.1
1773653009.186074,90.1
1773653009.2857196,90.1
1773653009.385849,90.1
1773653009.4862385,90.1
1773653009.5857594,90.1
1773653009.6859262,90.1
1773653009.785382,90.1
1773653009.8860219,90.1
1773653009.9859707,90.1
1773653010.085697,90.1
1773653010.185682,90.1
1773653010.285715,90.1
1773653010.3854058,90.1
1773653010.4857745,90.1
1773653010.5857298,90.1
1773653010.6854236,90.1
1773653010.7857995,90.1
1773653010.8858197,90.1
1773653010.985988,90.1
1773653011.085329,90.1
1773653011.1859481,90.1
1773653011.2858195,90.1
1773653011.3856359,90.1
1773653011.4858131,90.1
1773653011.5857215,90.1
1773653011.6862714,90.1
1773653011.786011,90.1
1773653011.8852715,90.1
1773653011.9858525,90.1
1773653012.0856194,90.1
1773653012.1856737,90.1
1773653012.2858949,90.1
1773653012.3858068,90.1
1773653012.485785,90.1
1773653012.5855532,90.1
1773653012.6857843,90.1
1773653012.785816,90.1
1773653012.8851607,90.1
1773653012.9858873,90.1
1773653013.0853133,90.1
1773653013.185734,90.1
1773653013.2861066,90.1
1773653013.385884,90.1
1773653013.485811,90.1
1773653013.5857775,90.1
1773653013.6861153,90.1
1773653013.78601,90.1
1773653013.8857863,90.1
1773653013.9852123,90.1
